,Review_ID,Rating,Location,Rating_Submit_Dt,Username,Review,Positive,Negative,Neutral,Compound
11,R12,1,Torrance,2022-05-14T22:28:38.604Z, Curlyness,"This product left my hair so tangled, dry, and like straw. It's not conditioning at all, and my hair was such a mess. I don't see how this has any good reviews. Save your money, seriously. It took me forever to get my hair back to normal.",0.163,0.08,0.758,0.6597
12,R13,1,Durham nc,2022-05-14T22:28:38.604Z, Sophia,"Made my hair and my daughters' ha tangled, stiff and dry.",0.194,0.0,0.806,0.34
13,R14,4,Wi,2022-05-14T22:28:38.604Z, Milo,I love it a lot it makes my hair feel soft and hydrated even though I have bleached hair,0.219,0.0,0.781,0.6369
14,R15,5,Pa,2022-05-14T22:28:38.604Z, KaraB,I've only used it one time so far but I saw and felt a difference right away. I've used so many different hair masks and this is deff one of my favorites. Better than Olaplex!,0.202,0.0,0.798,0.8335
15,R16,1,Mn,2022-05-14T22:28:38.604Z, Leesa,Didn't see any difference after using.,0.0,0.0,1.0,0.0
16,R17,5,"Ukiah, CA",2022-05-14T22:28:38.604Z, courtneys12,"I purchased the 8 oz container of Briogeo don't despair, repair! Deep conditioning mask. This is a product you use after shampooing. Rub it in, let it be for ten minutes and then rinse away to soft lovely hair. Smell could use some improvement, I didn't care for that part, but product works well so I can get over that.",0.146,0.03,0.825,0.7192
17,R18,4,"Windermere, FL",2022-05-14T22:28:38.604Z, florenciad18,"It is a good hair mask. Leaves it soft and shiny in the first wash. The scent is mild, not overwhelming. For the reason that it doesn't reach 5 stars for me is that the application time is 10 minutes after applying shampoo and it seems too much for a conditioner and I also think there are better masks on market.",0.095,0.018,0.887,0.6933
18,R19,5,"Tampa, FL",2022-05-14T22:28:38.604Z, rnagatori,"You absolutely need this, it's a bit on the pricier side but honestly it's absolutely worth it. I can't imagine not having any stocked up.",0.244,0.0,0.756,0.7776
19,R20,2,east coast,2022-05-14T22:28:38.604Z, HD,"honestly I feel like this dried my hair out. I have really long, healthy hair and this did nothing for it. even after I used it I felt it made my hair hard to untangle. wouldn't buy again.",0.213,0.035,0.752,0.7951
20,R21,3,Utah,2022-04-11T23:10:31.257Z, Jordyn,I love the shampoo and conditioner in this line however this mask makes my hair feel like straw after I use it.,0.271,0.0,0.729,0.7717
21,R22,1,Weston florida,2022-04-11T23:10:31.257Z, Kay,It's just any old regular conditioner. I was expecting it to be super silky and detangled. Nothing out of the ordinary. Smell was like an old lady product.,0.204,0.0,0.796,0.7506
22,R23,5,Washington DC,2022-04-11T23:10:31.257Z, Krystal,Absolutely love this product! Light on hair does weight it down but leaves hair silky and fresh!❤️🔥,0.172,0.0,0.828,0.5156
23,R24,1,"North Little Rock, AR",2022-04-11T23:10:31.257Z, Dorian,I really wish I could return these products. They made my hair SO dry. I was really expecting a better product considering the cost.,0.255,0.0,0.745,0.7328
24,R25,1,"New York, NY",2022-04-11T23:10:31.257Z, T-bo,I'm traumatized from one use of this. I have long curly hair and only brush in the shower. I can NOT believe how long it took me to comb out tangles with this product in my hair. ZERO slip. So bad I'm not willing to give it another try,0.0,0.126,0.874,-0.7574
25,R26,5,"Queens Vlg, NY",2022-04-11T23:10:31.257Z, lexiek13,The best deep conditioning mask to replenish moisture to your hair. I have color treated hair so this helps keep it healthy and feeling soft. It's a bit expensive for the full size bottle but a little goes a long way so it will last you a long time.,0.164,0.0,0.836,0.7072
26,R27,3,"Wichita , KS",2022-04-11T23:10:31.257Z, adrienj2,Not my favorite. It didn't really do much for my hair sadly I did use it a few times I used almost the whole thing but I won't repurchase.,0.0,0.137,0.863,-0.3899
27,R28,5,"New Prague, MN",2022-04-11T23:10:31.257Z, katiej114,This smells great and left my hair feeling super soft. I'm super skeptical about hair masks actually making a difference with my hair but this one did it's job!,0.267,0.049,0.684,0.7463
28,R29,1,"Marietta, GA",2022-04-11T23:10:31.257Z, Georgia Mom,"I have high porosity, medium length, 2c-3b curls, so I had high expectations for this mask. Tried this deep conditioner for 10 min, 30 min, an hour and even overnight but every time I got the same results - drier, frizzier hair that was definitely NOT deep conditioned. Disappointing.",0.14,0.0,0.86,0.7901
29,R30,5,"Herkimer, NY",2022-04-11T23:10:31.257Z, parksyy_16,"This has been the key to getting my hair feeling softer and less damaged. I have autoimmune diseases that affect my hair, and most products just dry it out and damage it even more. I follow the directions on the bottle and leave the mask in for 10 minutes before rinsing it. As soon as I rinse, I can already feel that my hair is softer, and after it dries, it feels so much better than it did before my shower. I only use this 2 times a week as recommended. The product also has a really good salon hair fragrance to it as well! I really recommend this for anyone struggling with dry, damaged hair!",0.123,0.1,0.777,0.4087
30,R31,5,"Dallas, Tx",2022-04-02T18:31:58.530Z, Nadine,Left my dry bleached hair feeling so soft.,0.176,0.0,0.824,0.128
31,R32,4,"Orlando, FL",2022-04-02T18:31:58.530Z, loris1c4e,"This is a solid hair mask, but not quite as nourishing as their avocado kiwi one. It feels like something I could use more often than a traditional mask.",0.159,0.0,0.841,0.5499
32,R33,2,"Los Angeles, CA",2022-04-02T18:31:58.530Z, sarahedibles,"I'm sad this didn't work wonders for me since everyone else seems to love it. I only tried it twice, but it felt more like a protein treatment than anything restorative, which left my hair a little dry in the end. Bummer!",0.14,0.116,0.744,0.2804
33,R34,5,Dekalb,2022-04-02T18:31:58.530Z, Lea,10/10. I've never used a better conditioning treatment. This made my hair so soft and full of life again after just 1 use. Obsessed,0.0,0.17,0.83,-0.4777
34,R35,5,"Cleveland, OH",2022-04-02T18:31:58.530Z, roxannem25,This is by far the best conditioning I have ever use and I have use a lot! Super nice package because it brings a lot and you only need a little bit. Makes your hair super soft and manageable after washing it. I am already in my second one!,0.283,0.0,0.717,0.9467
35,R36,3,"Highland Mls, NY",2022-04-02T18:31:58.530Z, jordanbc54b,I really wanted to love this after seeing so many reviews however this product fell short for me. Felt heavy and weighed my hair down yet I always felt like my hair was dry after using. Will not repurchase,0.166,0.0,0.834,0.7884
36,R37,5,Utah,2022-04-02T18:31:58.530Z, Jen,This is my favorite product in the Briogio line.,0.273,0.0,0.727,0.4588
37,R38,5,Eastvale,2022-04-02T18:31:58.530Z, gisellem,"Honestly I'm pretty sure this product improved my hair health. I've bleached my hair 2 or 3x within a year and this has helped my hair SO much. I have t h i c k hair, like a lot of hair no joke. I shampoo my hair, rinse, etc then add the hair mask for as long as I can. Sometimes I ditch the conditioner but I definitely think it's worth the shot. Just like any other product it might not work for everyone but I will try more briogeo products (:",0.267,0.017,0.716,0.9657
38,R39,5,Miami,2022-04-02T18:31:58.530Z, Dani,"If u have dry or damaged hair, this product is a must buy! My hair was damaged from highlights and I used it once and already saw a difference. Highly recommend, moisturized, hydrated my hair.",0.076,0.165,0.759,-0.5104
39,R40,5,"Albany, NY",2022-04-02T18:31:58.530Z, csansie,"I had virgin hair before I decided to do some subtle face framing balayage. It came out beautiful but left my hair feeling extra dry and straw like. I was not used to my hair feeling this way. I even go above and beyond to not brush when wet, use microfiber towels and sleep on silk pillowcase and tie it up with silk scrunchies. I knew it was from the bleach! Used this one time, shampoo then left on for about 20 minutes and rinsed and omg! I have the softest hair, I can't believe how it transformed it. Super sleek and shiny! Love this, it really works wonders!",0.183,0.0,0.817,0.9702
40,R41,3,St. Paul,2022-03-23T19:30:07.291Z, Maddie,this is the only product from Briogeo that I'm not in love with :( I feel like it weighs down my hair even if I use the tiniest amount. There's a weird film that it leaves behind which makes me feel like I need to wash my hair again. Other than the weird film it makes my hair shiny and soft.,0.076,0.147,0.777,-0.5673
41,R42,1,USA,2022-03-23T19:30:07.291Z, Cat,I've only used this once and it left my hair feeling really dry and brittle. My conditioner works better than this. Will be retuning!,0.176,0.0,0.824,0.5707
42,R43,4,glastonbury,2022-03-23T19:30:07.291Z, emilyo144,didn't love this mask. Felt like it left a strange layer of film on my hair. I used it once a week for a few months.,0.094,0.194,0.712,-0.3956
43,R44,5,"Colbert, GA",2022-03-23T19:30:07.291Z, chloec242,"I have blonde, fine hair and I love this deep conditioner. I use it probably more than I should that's how much I love it. I find myself sitting and just playing with my hair, feeling and thinking of how soft it is. I love this product!",0.346,0.0,0.654,0.9516
44,R45,5,"Merrimac, MA",2022-03-23T19:30:07.291Z, pokesammae,With this product there is nothing to despair ! It had helped my damaged hair so much . A little goes a long way and it truly makes you feel like your hair is being revitalized,0.199,0.075,0.726,0.5795
45,R46,5,"Evans, GA",2022-03-23T19:30:07.291Z, taylort161,"I have baby-fine, straight hair, but a lot of it, and my hair gets oily very easily. I always worry about leave in and moisturizing products adding too much weight or oil for my hair. I don't color my hair and don't use heat tools often, but this still made my hair feel considerably healthier than normal. I didn't have a grease problem, even after applying near the roots, and I actually feel like I might be able to get a third day out of my hair (never happens) tomorrow. I can already tell it will be bittersweet when this tube runs out and I admit that a subscription box reeled me in on this one.",0.115,0.06,0.825,0.7454
46,R47,5,"Eastvale,CA",2022-03-23T19:30:07.291Z, Annette,"If you do not use ""Don't despair, repair you are missing out. I use this product once a week and my hair is left so manageable and healthy... I ran out and I saw a big difference in my hair until I went and replaced it. Expensive but worth it.",0.051,0.064,0.885,0.1012
47,R48,5,"Lancaster, CA",2022-03-23T19:30:07.291Z, leilanipatience,"As someone with[product:briogeo-dont-despair-repair!-deep-conditioning-mask-5oz]  3B, 4C hair this mask is go@to product to give my hair added moisture and slip. Detangling has never been so easy!",0.153,0.0,0.847,0.6514
48,R49,5,Richfield,2022-03-23T19:30:07.291Z, perid,Got this from Ulta as the birthday gift- it really hydrated my hair- which is hard with my bleached/ color treated hair!,0.13,0.057,0.813,0.4199
49,R50,4,"Naples, FL",2022-03-23T19:30:07.291Z, georgetted5,It's a great mask. Leaves hair feeling nice and moisturized. Great scent. Good for any hair type.,0.583,0.0,0.417,0.9371
50,R51,5,Los Angeles,2022-03-15T13:07:33.228Z, tabithab53,"After using this sample, this was one of the few products that after I used it, I felt a little bit of a difference in my hair after the first use. So I immediately bought the regular size! It makes my hair feel stronger after I get my highlights touched up, and it makes my hair feel strong just on a day that my hair feels a lil dryer then normal.",0.092,0.0,0.908,0.7345
51,R52,1,"Westport, CT",2022-03-15T13:07:33.228Z, taycusa,Not a fan of this….it left my hair feeling very greasy the day after I used it. It also was making certain areas of my hair cling together which hasn't happen to me with other conditioners. There was a lot of hype about this and it just didn't work for me sadly,0.067,0.089,0.843,-0.2874
52,R53,3,Ohio,2022-03-15T13:07:33.228Z, Powerfitnessmom,"Pros- It soften, moisturize and detangled immediately 
Cons- I had to use a lot more of the condition than I would normally have to use(3x more than other mask)
There isn't enough product in the package for the price you pay.
I don't have a problem paying for high end mask but I believe it's overpriced. It should be priced better around $20 range for the medium size jar. I would only buy when it's a sale or special.",0.117,0.016,0.868,0.8329
53,R54,5,"West Bend, WI",2022-03-15T13:07:33.228Z, mariaz15,I love using this in the shower the texture has an amazing feel. When going on I can feel it working already my hair feels silky and smooth. After washing and drying my hair is Luminous and less breakage and split ends I definitely can see the effect after first and second uses,0.185,0.0,0.815,0.8934
54,R55,5,"Brooklyn, NY",2022-03-15T13:07:33.228Z, nadah,One of my favorite deep conditioning treatments. I always apply in the shower and put a shower cap to lock in the product while I shower. I am left with amazing smooth silky hair,0.195,0.0,0.805,0.7783
55,R56,5,"Lansing, MI",2022-03-15T13:07:33.228Z, musicianswearblack,Love this product! I can definitely notice a difference! It does make my hair seem much more nourished without adding any extra oiliness or caked on product feeling. Highly recommend. The only thing stopping me from buying it regularly is the $$,0.243,0.033,0.723,0.88
56,R57,5,"Denver, CO",2022-03-15T13:07:33.228Z, Emma,"I've seen major improvements in my long term neglected hair since using this product. I apply this 20 minutes before I wash my hair and again at the end of my washing routine (followed by a thorough rinse with cold water). It smells a little strange, but I prefer that over using heavily scented products. I plan to try out everything this brand offers, but I have a feeling this is another hair care staple for me.",0.102,0.046,0.852,0.6424
57,R58,5,"Seattle, WA",2022-03-15T13:07:33.228Z, christinah196,This does seem to cut down on frizz. But what I loved the most was how long my hair felt soft after using this…even with product in it. I received a small bottle in my allure beauty box and ended up buying a full size version of the product.,0.195,0.029,0.776,0.9001
58,R59,2,Oregon,2022-03-15T13:07:33.228Z, Dior girl,"Not sure if the bigger container has different stuff. Smelled different and was much less conditioning. Also caused a lot of breakage.
Customer service was excellent.",0.129,0.068,0.802,0.4094
59,R60,3,capecoral,2022-03-15T13:07:33.228Z, danielah153,"It is pretty good at moisturizing the hair but I don't think is the greatest for super dry hair. Maybe for normal hair would work great. But my hair has become more and more dry, so it only works when I want a little help at keeping the moisture rather to intensely repair it [product:briogeo-dont-despair-repair!-deep-conditioning-mask-5oz]",0.364,0.0,0.636,0.9792
60,R61,5,"Topeka, KS",2022-03-05T10:08:27.836Z, lisas349,"I got a sample of it. Wow. The difference was on first use. My hair color is brown and color treated. It is thin. I would like a big squeeze bottle. This makes my hair stron, soft and manageable. The packaging is very nice. I have and will continue to buy it.",0.176,0.0,0.824,0.8553
61,R62,5,"Pensacola, FL",2022-03-05T10:08:27.836Z, reginas56,I have been looking for a GREAT deep conditioner and I finally found the perfect one for me! I let this set in my hair  while I shaved my legs and when I rinsed it out my hair immediately felt more smooth. I had less fly aways and my hair almost felt like silk when I straightened it! I will absolutely re purchase!![product:briogeo-test:-copy-of-dont-despair-repair!-deep-conditioning-mask],0.189,0.0,0.811,0.9173
62,R63,5,NewYork,2022-03-05T10:08:27.836Z, farwaaablog,This product is so worth the hype! I usually apply a small amount all over my hair in the shower. ￼￼ I let it sit for 2 minutes￼ and then I wash out. My hair are always super soft and shiny the next day. It has definitely helped to hydrate my hair. ￼￼￼,0.173,0.0,0.827,0.8549
63,R64,1,USA,2022-03-05T10:08:27.836Z, kay,"i have damaged bleached hair so i bought this hoping it would help but honestly it made it worst , it's didn't condition at all , waste of money , maybe it works on virgin hair but not bleached hair .",0.168,0.233,0.599,-0.6322
64,R65,5,"Austin, TX",2022-03-05T10:08:27.836Z, hopefulrays00,"I need a haircut right now, so my 3b curls are looser than usual. Usually, I have a fairly tight spiral curl throughout, but my hair is overall fine. I need something to hold my curls together without frizz to keep the curls intact. I keep my hair long, but I need the dead ends trimmed. 

I don't regularly use a hair masking product, but I got this in an Allure box for this February. After one use, my hair was shiny, and my curls were tighter than they've been in months. It felt like I had a trim at the salon.

My hair was very soft and bouncy, even with my usual styling products. My curls still held well despite how soft this product made my hair. I am very happy with the results and will use it again. The smell is pleasant but doesn't linger over my other styling products as well. I'll look into other hair repair masks too, since I have some other samples to try. I will compare them  to this one since it did so well.",0.135,0.031,0.834,0.9558
65,R66,5,Michigan,2022-03-05T10:08:27.836Z, Amber L,"I am so happy I decided to buy this product. It is hands down the best mask I have ever used. I just bleached my hair and it was looking/feeling a little rough. This mask worked wonders! It made my hair look and feel normal again. So soft, shiny and healthy. I will be buying more.",0.192,0.0,0.808,0.9039
66,R67,5,virginia,2022-03-05T10:08:27.836Z, girlypop,"I've been using heat on my hair for 2 years straight but I recently stopped using heat and I'm trying to repeat my hair from all the damage. I have 1b to 1c hair and my hair can get really dry AND THIS MASK IS MY HLOY GRAIL. I wet my hair, put on the mask, and let it sit for 30 minutes. When I wash it out I use cold water and OH MY GOD I SEE IMMEDIATE RESULTS. This is definitely a moisture maks, though, so if you're trying to fix the damage, I would suggest OLEPLEX.",0.084,0.106,0.81,-0.494
67,R68,3,"Rincon, GA",2022-03-05T10:08:27.836Z, caitline42,I want to say I really like this product but sometimes I feel like it makes my hair dry. Maybe it's other products I'm using I'm not sure. I do LOVE the smell of this stuff and the rich thick consistency. [product:briogeo-dont-despair-repair!-deep-conditioning-mask-5oz],0.231,0.151,0.619,0.48
68,R69,5,"Austin, TX",2022-03-05T10:08:27.836Z, melissab555,This product was great. Left my hair feeling silky! I love their products and it works well with my hair,0.448,0.0,0.552,0.9041
69,R70,4,United States,2022-03-05T10:08:27.836Z, halliek8,This mask definitely helps strengthen hair with out making it feel stiff. Gives the right amount of slip and softness after use. ￼,0.286,0.0,0.714,0.765
70,R71,4,"Orlando, FL",2022-02-25T14:25:09.640Z, Savannah,"I'm slowly but surely adding every briogeo product to my collection, and I did fall in love with this one. However, I have really bad eczema recently and with my celiac diagnosis I am trying to take out all products that aren't gluten free. This product has ingredients that I cannot use, and I just wish briogeo would consider reformulating to be a little more inclusive!",0.175,0.113,0.712,0.6956
71,R72,3,"Mt Pleasant, SC",2022-02-25T14:25:09.640Z, candacea17,"I used to love this product but used it again recently, and it doesn't detangle my hair well in the shower. I prefer a mask that detangles, leaving the hair feeling soft and clean and smelling fresh.",0.318,0.0,0.682,0.91
72,R73,2,"Myrtle Beach, SC",2022-02-25T14:25:09.640Z, BitzyB,"I really wanted to love this mask, but unfortunately I just don't.. I followed the directions but my dry hair is still just as dry. I'm definitely returning this.",0.194,0.096,0.71,0.4908
73,R74,5,United States,2022-02-25T14:25:09.640Z, pierineb,"I have used this mask several times. Whenever I want to give my hair extra shine and moisture, I use it. Smells great and leaves my hair hydrated, greatly recommend! Even if the price is a little steep, one bottle can last several months.",0.187,0.0,0.813,0.8169
74,R75,5,Fort Myers Florida,2022-02-25T14:25:09.640Z, Savanna,"I don't know why I was convinced that this product was overhyped- I was even skeptical after application AND while rinsing it out because most products I try that are hyped up never live up to expectations, it also concerned me that it wasn't CG approved. I have 3c/4a low porosity hair and it has been looking so lifeless. I chopped a good part of it off after being so frustrated with it thinking I needed to get rid of damage, only to find out that it didn't fix the problem- in fact it was now even harder to manage because I'd never dealt with my hair being so short. This brought my curls TO LIFE. RAISED THEM FROM THE GRAVE. Chile when I say buy this, you better buy this. It is SO worth it. It is definitely a strengthening mask and lives up to its claims- so don't expect a ton of moisture. This mask put so much elasticity back into my hair after one use that I didn't even have to apply gel, just used two of my favorite leave ins mixed together for a voluminous but defined twa. I'm definitely looking into other products from this brand now.",0.093,0.063,0.844,0.7234
75,R76,5,"Cedar Springs, MI",2022-02-25T14:25:09.640Z, karissab17,So nice to use on my thin hair. Gives me a nice scent and ton of moisture that lasts. Would love to receive this again!,0.337,0.0,0.663,0.8928
76,R77,4,"Boyce, VA",2022-02-25T14:25:09.640Z, allisonj58,I'm a fan of Briogo hair products and general and this is a pretty good mask. I've only had the trial sizes but would be open to trying it again.,0.186,0.0,0.814,0.5719
77,R78,5,New York,2022-02-25T14:25:09.640Z, Kay,"This conditioner is amazing! It transformed my dry, heat damaged curly hair in one use. My hair is so moisturized and so much easier to comb! I will definitely continue to use!",0.259,0.072,0.669,0.8203
78,R79,1,Minnesota,2022-02-25T14:25:09.640Z, Dev W.,"i got this in my feb 2020 allure beauty box, and was super excited to use it. After i rinsed it out i went to sleep and woke up to see that it managed to make my hair both greasy and dry. I didn't have time to rewash my hair, and had to layer on dry shampoo and hope for the best. I may try it again in the hopes that I somehow did it wrong, but still very disappointed.",0.152,0.078,0.771,0.5204
79,R80,5,"Hillsboro, OR",2022-02-25T14:25:09.640Z, ernurse,"Absolutely love this hair mask! I have very dry, curly hair and this works wonders when used on a regular basis. It adds moisture and shine to my dull hair. Highly recommend as it is very effective! I would definitely buy again!",0.283,0.053,0.664,0.9156
80,R81,4,"Los Angeles, CA",2022-02-14T22:33:35.100Z, elibelly55,This is a great product. I love how soft it leaves my hair￼! I use it about twice a month when my hair needs some extra hydration. One thing I will say is I've noticed that sometimes when I use this product my hair tends to get greasy a little faster than it normally would but it's not that big of a deal for me.￼ still love it,0.165,0.0,0.835,0.9051
81,R82,2,"Shelby twp, Mi",2022-02-14T22:33:35.100Z, Haley,"I was looking for a deep conditioning mask and i have heard from other people that this mask was good. However, I used it after my hair was fried from bleach at the salon… caused so much more breakage and hair loss. my hair felt MORE dried out and brittle after using this mask on top of my hair being fried off. I talked to one of the stylists at ulta and he recommended the It's a 10 miracle mask when I went back to look for a different product. The smell of this mask is great but for me at least in my case did not help. Also, girls on tik tok are saying not to buy this because they also are experiencing more breakage and fall out after using this mask.",0.073,0.034,0.892,0.4876
82,R83,5,"San Diego, CA",2022-02-14T22:33:35.100Z, melissa7788,This mask feels really nice on the hair and leaves it feeling soft and smooth. Way better than the drugstore ones!,0.302,0.0,0.698,0.7773
83,R84,4,Connecticut,2022-02-14T22:33:35.100Z, Dakota,"The first few times I used this product I did not like it. Then I kept giving it another chance, and by the 4/5 time I am now in love ! I found if I shampoo twice and then use this mask ( leave it on for atleast 8 minutes ) my hair looks amazing. This is the only mask that does not leave my hair looking oily and there's absolutely no residue after ! This will definitely be my go to from now on my hair feels super moisturized but not weighed down 

For context : I have type 1b hair , low porosity and gets oily quick but I have a dry / flaky scalp. This is the only Hair mask that I can put on my roots and get some relief without the heaviness !",0.132,0.061,0.806,0.8853
84,R85,5,Illinois,2022-02-14T22:33:35.100Z, Lex,"This is amazing!! It will make your hair so soft and it helps my hair not frizz out, makes the curls look great",0.357,0.0,0.643,0.9018
85,R86,5,"Corning, NY",2022-02-14T22:33:35.100Z, ginak45,I got this in a subscription bag or I never would have tried it. I thought a moisture mask was only for dry hair. But it's not! My fine hair loves it. And it smells good. It adds weight and shine and I have purchased it many times…in the bigger tub now.,0.17,0.035,0.795,0.852
86,R87,5,"San Rafael, CA",2022-02-14T22:33:35.100Z, kendalina,"I am in love with this deep conditioning hair mask. I apply it to my hair weekly, primarily focusing on my ends. When I get into the shower, I wet my hair, apply this to my whole head, and let it sit while I shave and wash my body. After rinsing it out I use my shampoo and conditioner like normal. This always leaves my hair looking and feeling it's best.",0.169,0.0,0.831,0.9081
87,R88,5,"Melrose, MA",2022-02-14T22:33:35.100Z, dorothyd11,I have been color treating my hair for many many years and this particular deep conditioning mask brings my hair back to life with softness  and shine like no other. And it smells wonderful. I highly recommend this if you have parched dried locks because it really is an excellent product.￼,0.219,0.037,0.744,0.8947
88,R89,5,"Easton, PA",2022-02-14T22:33:35.100Z, jennd24,Keep my hair very moisturized and minimize my frizz by a lot. I love how soft it keeps my hair too!,0.2,0.0,0.8,0.6696
89,R90,5,"Opa Locka, FL",2022-02-14T22:33:35.100Z, curlyredtricia,[product:briogeo-test:-copy-of-dont-despair-repair!-deep-conditioning-mask] is amazing. I'm a 3c and how this conditioner leave my hair so soft and it has great slip. I used this conditioner heater to cowash and yes 👏🏽. This conditioner got rid of all my build up and didn't dry out my hair. ￼,0.213,0.023,0.763,0.8932
90,R91,5,"Felton, CA",2022-02-02T20:27:57.276Z, marleea,I love taking this with me when I go on a beach vacation. It adds all the moisture back in and really helps detangle my hair. I even will use@this in my scalp and my hair doesn't feel oily after I have used it,0.161,0.0,0.839,0.796
91,R92,2,Minneapolis,2022-02-02T20:27:57.276Z, LMoney,Love the conditioner but can't stand the container. Not useful at all,0.166,0.198,0.637,-0.1303
92,R93,1,Las Vegas,2022-02-02T20:27:57.276Z, Frizzy,"My hair is in nice condition.  I thought this ""Don't Despair Repair"" deep conditioning mask would be good maintenance for keeping it healthy. 
It  turned my hair into a frizzy mess. Even after styling with a flat iron, the frizz all around my crown was so bad, it was embarrassing. I would not recommend.",0.162,0.183,0.656,-0.3268
93,R94,4,"Carmel, NY",2022-02-02T20:27:57.276Z, brianaloren,First of all I love the smell. Then the fact that it's clean ingredients. But let me just say I had some breakage and split ends post partum and this really came through for my hair. It's healthier and stronger than ever.,0.175,0.0,0.825,0.7814
94,R95,5,Elverta,2022-02-02T20:27:57.276Z, samantham631,I love this mask! If used as directed there is a noticeable difference right after you rinse. It leaves your hair feeling so soft!,0.239,0.0,0.761,0.7418
95,R96,5,"Hartland, MI",2022-02-02T20:27:57.276Z, LiL LiZ,"I got a sample of this as my birthday gift, I absolutely loved how it made my hair feel and it looks so silky and healthy.
I had to buy another one to keep using it. 
Great buy !!  Would definitely recommend!!",0.391,0.0,0.609,0.9662
96,R97,5,"Washington, DC",2022-02-02T20:27:57.276Z, Mik25,"As someone who swims daily and up to twice a day, my hair does feel the effects of the chlorine. I've been on the hunt for a deep conditioning mask, and this one surely did not disappoint! A little goes a long way, and after I'm done styling, I use the oil from the same line on my ends.  I've always had pretty healthy and shiny hair, but this line from Briogeo has brought it to the next level! I can't wait to try out their other products!",0.097,0.0,0.903,0.751
97,R98,1,"Livonia, Mi",2022-02-02T20:27:57.276Z, Moon29,I bought this on this advice of an Ulta employee. It made my hair uncontrollably frizzy! I literally have 3 different products in and my hair still looks like a cotton ball! Not to mention the smell is unpleasant!,0.061,0.158,0.781,-0.6093
98,R99,5,Florida,2022-02-02T20:27:57.276Z, Jess,Favorite hair mask of all time. I love how it moisturizes my bleached hair and the all natural ingredients… *chefs kiss*,0.363,0.0,0.637,0.8658
99,R100,5,Maryland,2022-02-02T20:27:57.276Z, Rose,I had really bad dry and damaged hair because of a medication I was taking and also because I had stopped deep conditioning. My hair was breaking and the ends looked bad. I've been using this for a little over a month now and the results DONT lie.,0.0,0.246,0.754,-0.9079
